voter,ionDistribution,ionDistributionParsed
0xF92A0B81144f28A6174b1BBeE09aEe2FA0f40fA5,0.20772811446437334,207728114464373340
0xa4E3D1Be71E1ff77Ec9eeCFfA4254631C06b4fC4,0.224751708694695,224751708694695000
0xcb392Dc6Acc465a61e2d43A270d2a83d3f40aB91,0.2326463640666412,232646364066641200
0x5059123deC3a4B38CbCa209b994080eFAd5D3a52,0.2750610707475138,275061070747513800
0x29F75Cf7DB0E8A711eE1345FC4606d376812B0B7,0.27768074626659206,277680746266592060
0x114E6758aC4d2e2b24B215db058237287A510095,0.2952955384321467,295295538432146700
0x7971D990927CEE5874a5b1546820B1C00dDfade1,0.2960404037758343,296040403775834300
0x29cc0aF2137900e20e2C8eeD304Da0957770FFA3,0.3004854793777126,300485479377712600
0x38f4C9e8539459CF96Ca7A5e6735542cf8B42652,0.3040462672631435,304046267263143500
0xd607C28c60eECC8B4D659a16D8D58647e189AC3c,0.33779312933521977,337793129335219770
0xCE32886Bc1D5e8EFdD3152966DBcDA5Bd1d55CCb,0.4237000857826256,423700085782625600
0x4290cEAfCBF7396882a330352601Aa5Eaac3E7e2,0.42390210173526266,423902101735262660
0x97b102e00d88F02DEBfD6b1e4B901Dd6931bB982,0.42400148126740667,424001481267406670
0x4B710d3Ed4B1822658cb4498B485277bBf537d23,0.4324026805284207,432402680528420700
0x65288b21A763A92F9E1a85A4dD785FFa46aa0A2A,0.48580240843144795,485802408431447950
0xc27e4312dc9C1624c899a17843C0C10e43b66858,0.5250867894924706,525086789492470600
0x343C2babD6397cF327c23C5988a10E3Bd5783718,0.5319281119499746,531928111949974600
0x94efF9368Da7A12e00B6C2F2e30f5e917Bb57F29,0.5337727536462776,533772753646277600
0x7a9a1a4bbe0Da993dd7aE984d8C6180a673cBecB,0.5958487733093657,595848773309365700
0x02406B4A75A0Ad97AeEc4F3eFff7067c3FB83352,0.625011231753622,625011231753622000
0x48c7e0db3DAd3FE4Eb0513b86fe5C38ebB4E0F91,0.6278832534290939,627883253429093900
