voter,ionDistribution,ionDistributionParsed
0x2C711eaA9e6d644cc75EE4b5e290d0f99E823374,0.21611932144994428,216119321449944280
0xdf97d77f0c84c319Cc95dBc17476964F6239BF4C,0.22781981370512394,227819813705123940
0x7DC130E21cf30C5e3ADfC46664f55ff2c49502dd,0.22793812239795253,227938122397952530
0x8C4461EdE0b48f3Fd71F0e1C42E5045B96FE8AF2,0.23298789829069194,232987898290691940
0x97b102e00d88F02DEBfD6b1e4B901Dd6931bB982,0.2422289951342121,242228995134212100
0xf7c66ccc5373d2315ad476922ed6B3071EfD4ad5,0.24375970874754047,243759708747540470
0xB597b4160A8BDf7Af039c8542c4b0ec8B9160C76,0.24604054968893949,246040549688939490
0xcb392Dc6Acc465a61e2d43A270d2a83d3f40aB91,0.2593306382107387,259330638210738700
0x31339a909d383046Ed4FAA77Db1F47a5DC87F64C,0.26428600055373985,264286000553739850
0xd105dEd0A518bac298550146FD3eDaF299337976,0.2736044430880591,273604443088059100
0x9C362d99aFA3723CeD2BC6f9597Da1264e03a48b,0.27856929148071286,278569291480712860
0x5059123deC3a4B38CbCa209b994080eFAd5D3a52,0.2830332133710358,283033213371035800
0x274829C52bba894d62A4931b46B76cFE0606Ac26,0.29634503668481643,296345036684816430
0xad9E08aaB1955d118904a37e0295a14CDFF20F0e,0.2966981812287882,296698181228788200
0x114E6758aC4d2e2b24B215db058237287A510095,0.32489260651607654,324892606516076540
0x29cc0aF2137900e20e2C8eeD304Da0957770FFA3,0.33060307270823713,330603072708237130
0xd607C28c60eECC8B4D659a16D8D58647e189AC3c,0.3745305754187154,374530575418715400
0x55176705a1C8eC845E888b5828d8b73842F2851D,0.3806630609295845,380663060929584500
0xb80D90e260bA3Bcba4B09a8ffb27367E4561e143,0.40603569084224667,406035690842246670
0x343C2babD6397cF327c23C5988a10E3Bd5783718,0.46988191260773227,469881912607732270
0x84f37A03c5E1fCF7bB2be0C279CD2d4E9D4F4087,0.5019650256028059,501965025602805900
0x18fF3CF2E0603821D672C6cCC53B09531fC11857,0.5060757742883275,506075774288327500
0x301371F30d45127E08d0BbE83b870D042089d3e8,0.5615789526404733,561578952640473300
0xc27e4312dc9C1624c899a17843C0C10e43b66858,0.5982933168224561,598293316822456100
0x4867DCA57c00641332CdB96A4746b3EB29360618,0.670592331666537,670592331666537000
0xbd62cFcEAFe996eeceB2e0795E83b1cf4DaF7674,0.6921934112401269,692193411240126900
0xd329AF483c69A84F84a56f3DBff772C66045753E,0.7775443662687395,777544366268739500
0xeaE192001f2579D6316bA20037776282AAcCDAEB,0.7848760275261185,784876027526118500
0xf340182120B3Ae50223966Cb3a7c8eD809281678,0.7949360704144327,794936070414432700
0x9c8A57a6D9d42EFcBD560D5771a07a4227572d74,0.8558428583424382,855842858342438200
