timestamp,voter,votingPowerCastForGauge,percentageOfTotalVotingPower,ionDistribution,ionDistributionParsed,votesCast,totalVotingPowerInGauge,numVotes,tx
1732156063,0x6D7Cc1045bB46e1C697f4d3DB88Df3E2453e8c5b,17981751319282836301701,0.00007872902695209514,19.682256738023785,19682256738023785000,17981751319282836301701,86637522148938302462140418,1,0x5f6f67e3f358b389ea3d820924ada1d2f00000488333f9151dd7cacc819cb893
1732156063,0x6D7Cc1045bB46e1C697f4d3DB88Df3E2453e8c5b,24307467009088060320693,0.00010642474091183135,26.606185227957837,26606185227957837000,24307467009088060320693,86654537819321863911965567,1,0x5f6f67e3f358b389ea3d820924ada1d2f00000488333f9151dd7cacc819cb893
1732156063,0x6D7Cc1045bB46e1C697f4d3DB88Df3E2453e8c5b,5731059005015384708000,0.00002509214429998573,6.2730360749964325,6273036074996432500,5731059005015384708000,86658590126378032115451093,1,0x5f6f67e3f358b389ea3d820924ada1d2f00000488333f9151dd7cacc819cb893
1732156099,0x695da462e7d55835c6E84a74f999D83E9b2EEac5,24673213287526181681522,0.00010802607818435302,27.006519546088256,27006519546088256000,24673213287526181681522,86683424603758158989566579,1,0x737515d65149b1adb70f128e1ad10be699f74efdd1fee50f353ba45f8715254d
1732156099,0x695da462e7d55835c6E84a74f999D83E9b2EEac5,19306835043145756732645,0.00008453060602842878,21.132651507107195,21132651507107195000,19306835043145756732645,86702731438801304746299224,1,0x737515d65149b1adb70f128e1ad10be699f74efdd1fee50f353ba45f8715254d
1732156099,0x695da462e7d55835c6E84a74f999D83E9b2EEac5,6115507073431668937054,0.000026775363125705412,6.693840781426353,6693840781426353000,6115507073431668937054,86708846945874736415236278,1,0x737515d65149b1adb70f128e1ad10be699f74efdd1fee50f353ba45f8715254d
1732156099,0x695da462e7d55835c6E84a74f999D83E9b2EEac5,118173181436104808900000,0.0005173945196495455,129.34862991238637,129348629912386370000,118173181436104808900000,86827020127310841224136278,1,0x737515d65149b1adb70f128e1ad10be699f74efdd1fee50f353ba45f8715254d
1732157065,0x3367A005c2bEf54f2836a616ce3E4Fa2d35910da,109022981405951100680852,0.00047733244048940706,119.33311012235177,119333110122351770000,109022981405951100680852,86911231970045884523215436,1,0x24f28007884c3e2db2a643e00159285aede2948044b21b6e34b29f493de2eae8
1732157469,0x8fbBb256bb8bAc4Ed70a95D054F4007786a69e2B,3765007387543325607138,0.00001648423242128107,4.121058105320268,4121058105320268000,3765007387543325607138,86912133885242061825869785,1,0xf21ea2ddd7a9eb5bbaffdc8e261e81fb48f80707d310da3c8119d186b9f2722e
1732157469,0x8fbBb256bb8bAc4Ed70a95D054F4007786a69e2B,1371004729041454549263,0.000006002633800658046,1.5006584501645115,1500658450164511500,1371004729041454549263,86912456484145227766300067,1,0xf21ea2ddd7a9eb5bbaffdc8e261e81fb48f80707d310da3c8119d186b9f2722e
1732157469,0x8fbBb256bb8bAc4Ed70a95D054F4007786a69e2B,2004136874026204850660,0.00000877465955174769,2.1936648879369227,2193664887936922700,2004136874026204850660,86914460621019253971150727,1,0xf21ea2ddd7a9eb5bbaffdc8e261e81fb48f80707d310da3c8119d186b9f2722e
